date;value;res;value_filt
2014-04-14;5033.7;222.30000000000018;4652.377032329427
2014-04-15;4543.4;-490.3000000000002;4412.013056764893
2014-04-16;4750.9;207.5;4159.036732447909
2014-04-17;4753.6;2.7000000000007276;3917.190230074197
2014-04-18;4567.7;-185.90000000000055;3714.1774500688603
2014-04-19;4567.7;0.0;3579.925738363361
2014-04-20;4567.7;0.0;3544.483326741771
2014-04-21;4320.1;-247.59999999999945;3635.7112695492992
2014-04-22;4270.6;-49.5;3876.9592463286513
2014-04-23;4578.2;307.59999999999945;4284.928530342105
2014-04-24;4676.0;97.80000000000018;4867.920233654412
2014-04-25;4416.8;-259.1999999999998;5624.642076801341
2014-04-26;4416.8;0.0;6543.703926058713
2014-04-27;4416.8;0.0;7603.87476601145
2014-04-28;4531.3;114.5;8775.10695381081
